,,,Persons Aged 15+ Years,,,Children Aged 10-17 Years,,,
Region,District,Sub-county,Working,Not Working,Total,Working,Not Working,Total,
Western,Buhweju,Bihanga,5736,979,6715,1494,1295,2789,
Western,Buhweju,Bitsya,6554,1536,8090,1145,2364,3509,
Western,Buhweju,Burere,8223,1217,9440,2128,1854,3982,
Western,Buhweju,Engaju,8405,476,8881,2632,1082,3714,
Western,Buhweju,Karungu,7336,692,8028,2358,918,3276,
Western,Buhweju,Nsiika Town Council,867,725,1592,101,495,596,
Western,Buhweju,Nyakishana,7912,934,8846,2631,1159,3790,
Western,Buhweju,Rwengwe,7657,1238,8895,1349,2101,3450,
Western,Buhweju,Buhweju Total,52690,7797,60487,13838,11268,25106,
Western,Buliisa,Biiso,6620,1390,8010,1078,2424,3502,
Western,Buliisa,Buliisa,7605,507,8112,2970,431,3401,
Western,Buliisa,Buliisa Town Council,3088,529,3617,836,486,1322,
Western,Buliisa,Butiaba,10142,3487,13629,1542,2705,4247,
Western,Buliisa,Kigwera,5265,1584,6849,1060,1634,2694,
Western,Buliisa,Kihungya,4945,892,5837,1384,1431,2815,
Western,Buliisa,Ngwedo,8013,212,8225,3560,95,3655,
Western,Buliisa,Buliisa Total,45678,8601,54279,12430,9206,21636,
Western,Bundibugyo,Bukonzo,4509,650,5159,1339,950,2289,
Western,Bundibugyo,Harugale,5175,1039,6214,954,1735,2689,
Western,Bundibugyo,Nduguto,5008,564,5572,1550,869,2419,
Western,Bundibugyo,Ngamba,4344,687,5031,952,1314,2266,
Western,Bundibugyo,Ntotoro,4317,956,5273,762,1301,2063,
Western,Bundibugyo,Sindila,4908,502,5410,1622,653,2275,
Western,Bundibugyo,Kasitu,8331,1825,10156,1694,2587,4281,
Western,Bundibugyo,Bubandi,8816,2073,10889,1344,3016,4360,
Western,Bundibugyo,Bubukwanga,9140,2697,11837,2088,2439,4527,
Western,Bundibugyo,Bundibugyo Town Council,7485,3018,10503,825,2693,3518,
Western,Bundibugyo,Busaru,6186,1332,7518,1752,1259,3011,
Western,Bundibugyo,Kirumya,4847,727,5574,1010,1134,2144,
Western,Bundibugyo,Kisubba,6949,1316,8265,1876,1472,3348,
Western,Bundibugyo,Mirambi,5247,1261,6508,1677,1054,2731,
Western,Bundibugyo,Nyahuka Town Council,6621,1793,8414,1616,1779,3395,
Western,Bundibugyo,Bundibugyo Total,91883,20440,112323,21061,24255,45316,
Western,Bushenyi,Central Divison,8491,1050,9541,2355,770,3125,
Western,Bushenyi,Ishaka Divison,5792,3570,9362,352,2091,2443,
Western,Bushenyi,Nyakabirizi Division,3620,1040,4660,639,1053,1692,
Western,Bushenyi,Bitooma,5230,1510,6740,1491,1418,2909,
Western,Bushenyi,Bumbaire,6220,2024,8244,1112,2095,3207,
Western,Bushenyi,Ibaare,4955,1403,6358,650,1921,2571,
Western,Bushenyi,Kakanju,6514,5537,12051,627,4597,5224,
Western,Bushenyi,Kyabugimbi,7956,2679,10635,1604,2831,4435,
Western,Bushenyi,Kyamuhunga,15581,4202,19783,3280,4199,7479,
Western,Bushenyi,Kyeizooba,10367,5099,15466,1416,4302,5718,
Western,Bushenyi,Nyabubare,16156,3269,19425,3929,4084,8013,
Western,Bushenyi,Ruhumuro,5627,1091,6718,1004,1992,2996,
Western,Bushenyi,Bushenyi Total,96509,32474,128983,18459,31353,49812,
Western,Hoima,Buhanika,1339,1361,2700,6714,746,7460,
Western,Hoima,Buseruka,3616,3761,7377,17897,3782,21679,
Western,Hoima,Kigorobya,8819,4954,13773,29279,3766,33045,
Western,Hoima,Kigorobya Town Council,366,779,1145,2332,646,2978,
Western,Hoima,Kitoba,3192,3767,6959,15286,2765,18051,
Western,Hoima,Kyabigambire,4538,3612,8150,18837,2546,21383,
Western,Hoima,Bugambe,2462,3543,6005,12046,3780,15826,
Western,Hoima,Buhimba,2879,5248,8127,16423,3679,20102,
Western,Hoima,Kabwoya,7991,4240,12231,30732,3004,33736,
Western,Hoima,Kiziranfumbi,5048,2069,7117,15997,1547,17544,
