,,,Orphanhood Status(Below 18 Years),,Disability (2 years and above),,Disability (2-17 Years),,
Region,District,Sub-county,Orphan,NonOrphan,Has a disability,Has no disability,Has a disability,Has no disability,
Western,Buhweju,Bihanga,473,6928,1734,10652,343,6186,
Western,Buhweju,Bitsya,563,8357,2018,12791,478,7390,
Western,Buhweju,Burere,805,10162,2065,15672,339,9182,
Western,Buhweju,Engaju,689,10386,1755,15640,500,9042,
Western,Buhweju,Karungu,586,7830,2120,12298,537,6962,
Western,Buhweju,Nsiika Town Council,128,1368,404,2283,69,1252,
Western,Buhweju,Nyakishana,654,9633,1261,15426,297,8698,
Western,Buhweju,Rwengwe,695,8326,1197,14525,205,7736,
Western,Buhweju,Buhweju Total,4593,62990,12554,99287,2768,56448,
Western,Buliisa,Biiso,825,8672,2940,12158,817,7400,
Western,Buliisa,Buliisa,764,9049,3808,11667,1502,6847,
Western,Buliisa,Buliisa Town Council,334,3697,971,5686,236,3230,
Western,Buliisa,Butiaba,1105,11239,3988,18495,1082,9284,
Western,Buliisa,Kigwera,678,6895,2413,10078,561,5967,
Western,Buliisa,Kihungya,695,6745,3158,8271,1123,5355,
Western,Buliisa,Ngwedo,714,9327,3590,12022,1409,7133,
Western,Buliisa,Buliisa Total,5115,55624,20868,78377,6730,45216,
Western,Bundibugyo,Bukonzo,406,5808,1336,8561,331,5093,
Western,Bundibugyo,Harugale,473,6752,1559,10205,311,6078,
Western,Bundibugyo,Nduguto,420,6168,2925,7702,1099,4712,
Western,Bundibugyo,Ngamba,536,5585,1571,8203,420,5008,
Western,Bundibugyo,Ntotoro,429,5466,1228,8480,165,4939,
Western,Bundibugyo,Sindila,400,5966,1557,8749,237,5386,
Western,Bundibugyo,Kasitu,768,11395,4365,15045,1441,9098,
Western,Bundibugyo,Bubandi,816,11391,3050,16971,531,10062,
Western,Bundibugyo,Bubukwanga,920,11604,2372,18847,304,10622,
Western,Bundibugyo,Bundibugyo Town Council,750,8520,2048,15181,324,7684,
Western,Bundibugyo,Busaru,524,7818,2313,11356,498,6718,
Western,Bundibugyo,Kirumya,399,5880,2180,8087,421,4968,
Western,Bundibugyo,Kisubba,665,8945,2527,13009,582,7708,
Western,Bundibugyo,Mirambi,539,6994,1716,10481,330,6243,
Western,Bundibugyo,Nyahuka Town Council,623,8541,2177,13061,468,7527,
Western,Bundibugyo,Bundibugyo Total,8668,116833,32924,173938,7462,101846,
Western,Bushenyi,Central Divison,720,6498,1257,13538,174,6269,
Western,Bushenyi,Ishaka Divison,621,5145,805,12576,115,4880,
Western,Bushenyi,Nyakabirizi Division,380,3239,749,6477,100,3131,
Western,Bushenyi,Bitooma,487,7118,1218,11277,299,6420,
Western,Bushenyi,Bumbaire,697,6425,1595,12008,199,6330,
Western,Bushenyi,Ibaare,581,5340,848,9952,103,5203,
Western,Bushenyi,Kakanju,896,11608,2416,19102,392,10853,
Western,Bushenyi,Kyabugimbi,844,9211,2871,15220,526,8497,
Western,Bushenyi,Kyamuhunga,1657,16717,3387,30293,674,15726,
Western,Bushenyi,Kyeizooba,1352,11550,3345,21657,481,11111,
Western,Bushenyi,Nyabubare,1548,17174,2639,30782,479,16318,
Western,Bushenyi,Ruhumuro,500,7150,2400,10142,656,6105,
Western,Bushenyi,Bushenyi Total,10283,107175,23530,193024,4198,100843,
Western,Hoima,Buhanika,542,6803,1648,11328,367,6008,
Western,Hoima,Buseruka,1538,20132,5067,32697,1328,17099,
Western,Hoima,Kigorobya,2577,35734,10126,51540,2847,30055,
Western,Hoima,Kigorobya Town Council,274,2758,793,4401,182,2435,
Western,Hoima,Kitoba,1314,17505,4466,27704,1012,15303,
Western,Hoima,Kyabigambire,1441,20537,4531,33286,980,18098,
Western,Hoima,Bugambe,995,15067,2517,25328,751,13196,
Western,Hoima,Buhimba,1288,20283,3541,32678,937,17794,
Western,Hoima,Kabwoya,2506,34098,7147,53767,1717,29168,
Western,Hoima,Kiziranfumbi,1212,18331,3376,28905,777,16141,
Western,Hoima,Kyangwali,4770,49158,12234,74259,2594,43139,
Western,Hoima,Bujumbura Division,932,10032,2084,18313,471,9133,
Western,Hoima,Busiisi Division,616,9095,2199,15522,534,7847,
Western,Hoima,Kahoora Divison,1102,13799,2177,28692,488,12130,
Western,Hoima,Mparo Divison,818,10395,4169,16574,1476,8246,
Western,Hoima,Hoima Total,21925,283727,66075,454994,16461,245792,
Western,Ibanda,Bisheshe,1102,12160,3048,19871,517,11179,
Western,Ibanda,Ibanda Town Council,1366,12601,2926,26060,477,11733,
Western,Ibanda,Igorora Town Council,335,2606,632,4778,111,2492,
Western,Ibanda,Ishongororo,711,7540,1725,12082,312,7048,
Western,Ibanda,Ishongororo Town Council,1087,10449,2459,17648,471,9671,
Western,Ibanda,Kashangura,765,8542,1904,14423,311,8063,
Western,Ibanda,Keihangara,563,5718,1377,9503,217,5443,
Western,Ibanda,Kicuzi,678,8716,2043,13184,327,7795,
Western,Ibanda,Kijongo,530,5450,1164,8858,181,5168,
Western,Ibanda,Kikyenkye,770,7156,1406,12592,204,6865,
Western,Ibanda,Nsasi,426,4015,1007,6707,176,3812,
Western,Ibanda,Nyabuhikye,778,9000,1274,16382,164,8629,
Western,Ibanda,Nyamarebe,870,11158,1738,18707,347,10249,
Western,Ibanda,Rukiri,940,11764,2784,20060,441,10946,
Western,Ibanda,Rushango Town Council,208,1930,705,2922,140,1722,
Western,Ibanda,Ibanda Total,11129,118805,26192,203777,4396,110815,
Western,Isingiro,Endiinzi,901,12107,1395,20767,273,10874,
Western,Isingiro,Kashumba,851,11383,2513,17939,572,10140,
Western,Isingiro,Mbaare,1322,17360,3023,27703,615,15490,
Western,Isingiro,Ngarama,1423,17927,3521,29057,665,16756,
Western,Isingiro,Rugaaga,1209,17138,2821,27597,593,15285,
Western,Isingiro,Rushasha,434,7049,1652,10270,275,6083,
Western,Isingiro,Nakivale Refugee Camp,4033,28468,8968,42867,2091,26386,
Western,Isingiro,Birere,789,10238,1968,17797,335,9378,
Western,Isingiro,Isingiro Town Council,1150,13537,3286,22061,911,11878,
Western,Isingiro,Kaberebere Town Council,279,2694,296,5358,29,2464,
Western,Isingiro,Kabingo,842,10899,2272,18089,411,9874,
Western,Isingiro,Kabuyanda,962,11108,3278,16458,873,9782,
