Age/Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,"1,368,200","1,397,100","1,429,500","1,463,200","1,496,000","1,528,200","1,561,200","1,595,300","1,626,300","1,657,100","1,684,300","1,709,600","1,732,200","1,752,700","1,770,600","1,785,800","1,798,600","1,807,200","1,814,600","1,824,900","1,835,500","1,844,600","1,852,800","1,859,100","1,863,800","1,868,500","1,872,900","1,877,500","1,879,600","1,881,900","1,881,100","1,881,600","1,879,500","1,875,100","1,867,700","1,854,600"
1,"1,291,000","1,344,700","1,373,800","1,407,200","1,440,500","1,474,100","1,507,500","1,540,600","1,574,300","1,606,500","1,637,000","1,665,100","1,690,700","1,713,700","1,734,400","1,752,900","1,769,000","1,781,800","1,791,500","1,798,800","1,809,400","1,820,300","1,830,700","1,838,900","1,845,200","1,850,500","1,855,800","1,861,100","1,865,500","1,868,800","1,870,600","1,870,300","1,870,500","1,869,200","1,865,200","1,857,600"
2,"1,223,800","1,277,300","1,333,700","1,363,100","1,396,600","1,430,100","1,464,000","1,497,800","1,531,200","1,564,900","1,597,400","1,628,000","1,656,300","1,682,000","1,705,300","1,726,300","1,745,000","1,761,200","1,774,200","1,784,100","1,791,700","1,802,500","1,813,600","1,824,200","1,832,500","1,839,100","1,844,600","1,850,000","1,855,600","1,860,100","1,863,600","1,865,600","1,865,400","1,865,700","1,864,500","1,860,700"
3,"1,188,400","1,216,500","1,269,800","1,326,700","1,356,300","1,389,800","1,423,400","1,457,500","1,491,400","1,524,900","1,558,700","1,591,300","1,622,000","1,650,500","1,676,400","1,699,800","1,720,900","1,739,700","1,756,000","1,769,200","1,779,300","1,786,900","1,797,900","1,809,100","1,819,900","1,828,400","1,835,100","1,840,700","1,846,300","1,851,900","1,856,700","1,860,300","1,862,300","1,862,200","1,862,600","1,861,500"
4,"1,170,100","1,183,000","1,211,000","1,264,100","1,321,400","1,351,200","1,384,900","1,418,400","1,452,700","1,486,600","1,520,300","1,554,100","1,586,800","1,617,600","1,646,100","1,672,200","1,695,700","1,716,900","1,735,800","1,752,100","1,765,400","1,775,600","1,783,400","1,794,400","1,805,700","1,816,600","1,825,200","1,832,100","1,837,700","1,843,400","1,849,200","1,853,900","1,857,600","1,859,700","1,859,600","1,860,100"
5,"1,157,100","1,165,700","1,178,800","1,206,900","1,259,900","1,317,500","1,347,300","1,380,900","1,414,700","1,449,000","1,483,000","1,516,600","1,550,600","1,583,300","1,614,200","1,642,800","1,668,900","1,692,500","1,713,700","1,732,700","1,749,100","1,762,400","1,772,700","1,780,500","1,791,700","1,803,200","1,814,100","1,822,700","1,829,700","1,835,300","1,841,200","1,847,000","1,851,800","1,855,500","1,857,600","1,857,700"
6,"1,147,900","1,153,400","1,162,300","1,175,400","1,203,500","1,256,500","1,314,300","1,344,100","1,377,900","1,411,600","1,445,900","1,479,900","1,513,700","1,547,700","1,580,500","1,611,400","1,640,100","1,666,200","1,689,800","1,711,100","1,730,200","1,746,600","1,760,000","1,770,300","1,778,200","1,789,500","1,800,900","1,812,000","1,820,700","1,827,700","1,833,400","1,839,300","1,845,100","1,850,000","1,853,700","1,855,800"
7,"1,122,300","1,144,700","1,150,300","1,159,200","1,172,500","1,200,600","1,253,600","1,311,600","1,341,500","1,375,200","1,409,000","1,443,300","1,477,400","1,511,300","1,545,300","1,578,000","1,609,100","1,637,700","1,663,900","1,687,600","1,708,800","1,727,900","1,744,500","1,757,900","1,768,300","1,776,300","1,787,600","1,799,100","1,810,100","1,818,900","1,825,900","1,831,700","1,837,600","1,843,400","1,848,300","1,852,100"
8,"1,097,900","1,119,500","1,141,900","1,147,600","1,156,800","1,170,100","1,198,100","1,251,100","1,309,300","1,339,200","1,373,000","1,406,800","1,441,200","1,475,300","1,509,200","1,543,200","1,576,000","1,607,000","1,635,700","1,661,800","1,685,500","1,706,900","1,726,000","1,742,600","1,756,100","1,766,500","1,774,500","1,785,900","1,797,400","1,808,500","1,817,300","1,824,400","1,830,200","1,836,000","1,842,000","1,846,900"
9,"1,075,400","1,095,400","1,117,200","1,139,500","1,145,300","1,154,600","1,168,100","1,196,000","1,249,000","1,307,300","1,337,300","1,371,000","1,404,800","1,439,200","1,473,400","1,507,300","1,541,300","1,574,200","1,605,100","1,633,900","1,660,100","1,683,800","1,705,100","1,724,300","1,740,900","1,754,400","1,764,900","1,773,000","1,784,300","1,795,900","1,807,000","1,815,800","1,823,000","1,828,800","1,834,800","1,840,700"
10,"1,054,800","1,073,300","1,093,300","1,115,100","1,137,500","1,143,400","1,152,700","1,166,200","1,194,200","1,247,000","1,305,600","1,335,600","1,369,400","1,403,200","1,437,600","1,471,800","1,505,700","1,539,700","1,572,600","1,603,500","1,632,400","1,658,500","1,682,300","1,703,700","1,722,800","1,739,400","1,752,900","1,763,400","1,771,600","1,783,000","1,794,600","1,805,700","1,814,600","1,821,700","1,827,600","1,833,600"
11,"1,034,200","1,052,900","1,071,500","1,091,600","1,113,400","1,135,700","1,141,700","1,151,100","1,164,700","1,192,600","1,245,500","1,304,100","1,334,200","1,368,000","1,401,800","1,436,200","1,470,400","1,504,300","1,538,400","1,571,100","1,602,200","1,630,900","1,657,200","1,681,000","1,702,300","1,721,500","1,738,100","1,751,700","1,762,200","1,770,300","1,781,800","1,793,400","1,804,500","1,813,500","1,820,500","1,826,500"
12,"1,011,100","1,032,600","1,051,300","1,069,800","1,090,000","1,111,700","1,134,100","1,140,100","1,149,600","1,163,300","1,191,100","1,244,000","1,302,800","1,332,800","1,366,700","1,400,500","1,434,900","1,469,100","1,503,000","1,537,100","1,569,800","1,600,900","1,629,600","1,655,900","1,679,700","1,701,100","1,720,200","1,737,000","1,750,500","1,761,000","1,769,200","1,780,600","1,792,300","1,803,400","1,812,400","1,819,400"
13,"982,200","1,009,500","1,031,000","1,049,700","1,068,200","1,088,300","1,110,100","1,132,600","1,138,600","1,148,100","1,161,900","1,189,700","1,242,500","1,301,500","1,331,500","1,365,400","1,399,200","1,433,600","1,467,800","1,501,700","1,535,800","1,568,500","1,599,600","1,628,300","1,654,600","1,678,400","1,699,800","1,719,000","1,735,700","1,749,200","1,759,900","1,768,000","1,779,500","1,791,100","1,802,300","1,811,300"
14,"945,800","980,500","1,007,900","1,029,300","1,048,000","1,066,700","1,086,700","1,108,600","1,131,000","1,137,100","1,146,700","1,160,400","1,188,200","1,240,900","1,300,100","1,330,100","1,363,900","1,397,800","1,432,200","1,466,400","1,500,300","1,534,400","1,567,100","1,598,200","1,626,900","1,653,200","1,677,000","1,698,400","1,717,700","1,734,300","1,748,000","1,758,500","1,766,800","1,778,200","1,789,800","1,801,100"
15,"904,000","944,000","978,800","1,006,000","1,027,600","1,046,300","1,064,900","1,085,000","1,106,800","1,129,300","1,135,300","1,145,000","1,158,800","1,186,500","1,239,200","1,298,600","1,328,600","1,362,400","1,396,200","1,430,700","1,464,800","1,498,700","1,532,800","1,565,600","1,596,600","1,625,400","1,651,600","1,675,400","1,696,800","1,716,100","1,732,800","1,746,400","1,757,000","1,765,300","1,776,800","1,788,400"
16,"860,000","902,100","942,100","976,900","1,004,200","1,025,600","1,044,300","1,063,100","1,083,100","1,104,900","1,127,400","1,133,500","1,143,200","1,157,000","1,184,700","1,237,400","1,296,700","1,326,800","1,360,600","1,394,300","1,428,800","1,463,000","1,496,900","1,530,900","1,563,700","1,594,800","1,623,500","1,649,800","1,673,600","1,695,000","1,714,300","1,731,000","1,744,600","1,755,300","1,763,500","1,775,000"
17,"817,700","858,000","900,100","940,100","974,800","1,002,200","1,023,600","1,042,300","1,061,000","1,081,100","1,102,800","1,125,300","1,131,400","1,141,200","1,155,100","1,182,700","1,235,300","1,294,700","1,324,800","1,358,600","1,392,300","1,426,800","1,460,900","1,494,800","1,528,900","1,561,600","1,592,600","1,621,400","1,647,700","1,671,500","1,693,000","1,712,300","1,728,900","1,742,600","1,753,200","1,761,500"
18,"779,000","815,700","855,900","898,000","937,900","972,700","999,900","1,021,400","1,040,000","1,058,700","1,078,800","1,100,600","1,123,100","1,129,200","1,139,000","1,152,900","1,180,400","1,233,000","1,292,500","1,322,500","1,356,200","1,390,100","1,424,400","1,458,600","1,492,500","1,526,500","1,559,300","1,590,200","1,619,100","1,645,400","1,669,100","1,690,500","1,709,800","1,726,600","1,740,300","1,750,900"
19,"745,700","776,800","813,500","853,700","895,600","935,600","970,300","997,500","1,019,000","1,037,600","1,056,200","1,076,300","1,098,200","1,120,600","1,126,700","1,136,600","1,150,400","1,178,100","1,230,500","1,290,100","1,320,000","1,353,700","1,387,400","1,421,900","1,456,000","1,489,800","1,523,900","1,556,600","1,587,700","1,616,400","1,642,700","1,666,400","1,688,000","1,707,200","1,723,900","1,737,600"
20,"716,500","743,400","774,600","811,200","851,300","893,200","933,000","967,700","994,900","1,016,300","1,034,900","1,053,600","1,073,700","1,095,500","1,117,900","1,124,200","1,134,000","1,147,900","1,175,400","1,227,900","1,287,400","1,317,300","1,351,000","1,384,700","1,419,100","1,453,200","1,487,000","1,521,000","1,553,800","1,584,700","1,613,400","1,639,700","1,663,500","1,685,000","1,704,300","1,721,100"
21,"688,700","714,200","741,100","772,200","808,800","848,800","890,600","930,300","964,900","992,200","1,013,600","1,032,200","1,050,900","1,071,000","1,092,700","1,115,100","1,121,300","1,131,200","1,145,100","1,172,600","1,224,900","1,284,500","1,314,500","1,348,000","1,381,700","1,416,100","1,450,200","1,484,000","1,518,000","1,550,600","1,581,700","1,610,400","1,636,600","1,660,400","1,681,800","1,701,100"
22,"660,200","686,400","711,800","738,700","769,800","806,300","846,100","887,900","927,600","962,100","989,300","1,010,700","1,029,300","1,047,900","1,068,000","1,089,800","1,112,100","1,118,500","1,128,300","1,142,300","1,169,700","1,222,000","1,281,500","1,311,400","1,345,000","1,378,700","1,413,000","1,447,000","1,480,800","1,514,700","1,547,400","1,578,300","1,607,100","1,633,300","1,657,000","1,678,500"
23,"631,600","657,900","684,000","709,400","736,400","767,300","803,600","843,500","885,100","924,800","959,200","986,300","1,007,800","1,026,400","1,044,900","1,065,000","1,086,800","1,109,100","1,115,500","1,125,400","1,139,300","1,166,700","1,218,800","1,278,300","1,308,300","1,341,800","1,375,400","1,409,800","1,443,700","1,477,500","1,511,400","1,544,000","1,575,000","1,603,700","1,629,800","1,653,700"
24,"601,900","629,100","655,500","681,600","707,000","734,000","764,800","801,000","840,800","882,400","921,900","956,300","983,400","1,004,700","1,023,400","1,042,000","1,062,000","1,083,700","1,106,100","1,112,500","1,122,400","1,136,300","1,163,600","1,215,700","1,275,200","1,305,100","1,338,600","1,372,200","1,406,400","1,440,400","1,474,100","1,508,000","1,540,600","1,571,500","1,600,200","1,626,400"
25,"572,100","599,500","626,800","653,200","679,300","704,700","731,500","762,400","798,500","838,100","879,700","919,100","953,400","980,500","1,001,800","1,020,500","1,039,000","1,059,100","1,080,700","1,103,100","1,109,500","1,119,400","1,133,400","1,160,600","1,212,600","1,272,100","1,302,000","1,335,400","1,369,000","1,403,200","1,437,100","1,470,800","1,504,600","1,537,200","1,568,100","1,596,700"
26,"542,700","569,700","597,200","624,500","650,900","677,000","702,300","729,200","759,900","796,000","835,500","876,900","916,300","950,600","977,600","998,900","1,017,500","1,036,100","1,056,000","1,077,800","1,100,000","1,106,400","1,116,500","1,130,400","1,157,600","1,209,600","1,269,000","1,298,800","1,332,300","1,365,800","1,399,900","1,433,800","1,467,400","1,501,300","1,533,900","1,564,700"
27,"515,000","540,300","567,300","595,000","622,300","648,700","674,700","700,000","726,800","757,400","793,400","832,900","874,100","913,400","947,700","974,700","996,000","1,014,600","1,033,100","1,053,100","1,074,700","1,097,000","1,103,500","1,113,400","1,127,500","1,154,600","1,206,400","1,265,700","1,295,600","1,329,000","1,362,500","1,396,600","1,430,500","1,464,100","1,497,800","1,530,300"
