Region,District,Sub-county,Attending School,Not attending,Never  been to School,Primary,Secondary and above,Total,Literate,Not Literate
Western,Buhweju,Bihanga,2671,383,1127,4255,1333,6715,3991,1866
Western,Buhweju,Bitsya,3234,375,1193,5267,1630,8090,5033,1908
Western,Buhweju,Burere,3934,460,1819,5572,2049,9440,5693,2523
Western,Buhweju,Engaju,3545,836,1810,5778,1293,8881,5029,2824
Western,Buhweju,Karungu,3103,372,1329,4945,1754,8028,5032,1887
Western,Buhweju,Nsiika T.Council,555,38,159,953,480,1592,1138,228
Western,Buhweju,Nyakishana,3653,443,1600,5594,1652,8846,5586,2106
Western,Buhweju,Rwengwe,3188,461,1577,4965,2353,8895,5498,2283
Western,Buhweju,Buhweju Total,23883,3368,10614,37329,12544,60487,37000,15625
Western,Buliisa,Sub-county,3235,426,1741,4444,1825,8010,3855,3026
Western,Buliisa,Buliisa,2875,929,2598,4410,1104,8112,3076,4050
Western,Buliisa,Buliisa Town Council,1304,196,684,1860,1073,3617,1963,1228
Western,Buliisa,Butiaba,3532,870,3511,7670,2448,13629,6998,5119
Western,Buliisa,Kigwera,2340,428,1403,3896,1550,6849,3461,2502
Western,Buliisa,Kihungya,2544,394,1417,3123,1297,5837,2849,2102
Western,Buliisa,Ngwedo,3045,686,2216,4763,1246,8225,3635,3435
Western,Buliisa,Buliisa Total,18875,3929,13570,30166,10543,54279,25837,21462
Western,Bundibugyo,Bukonzo,2210,163,1021,2549,1589,5159,2935,1538
Western,Bundibugyo,Harugale,2685,179,922,3229,2063,6214,3592,1783
Western,Bundibugyo,Nduguto,2352,241,800,3282,1490,5572,3082,1734
Western,Bundibugyo,Ngamba,2233,198,825,2743,1463,5031,2883,1463
Western,Bundibugyo,Ntotoro,2028,168,1318,2936,1019,5273,2352,2252
Western,Bundibugyo,Sindila,2256,269,1004,3105,1301,5410,2773,1910
Western,Bundibugyo,Kasitu,4395,298,1909,5719,2528,10156,5950,2921
Western,Bundibugyo,Bubandi,3969,509,2618,5916,2355,10889,5209,4219
Western,Bundibugyo,Bubukwanga,4188,459,2844,6388,2605,11837,5539,4754
Western,Bundibugyo,Bundibugyo Town Council,3145,190,1144,4621,4738,10503,6979,2242
