Region,District,Sub-county,Male,Female,Total,Sex Ratio*,Land Area (Sq. Km),Population Density**
Western,Buhweju,Bihanga,"6,543","6,746","13,289",49.2,98,136
Western,Buhweju,Bitsya,"7,664","8,216","15,880",48.3,64.6,246
Western,Buhweju,Burere,"9,473","9,748","19,221",49.3,185.8,103
Western,Buhweju,Engaju,"9,269","9,712","18,981",48.8,175.8,108
Western,Buhweju,Karungu,"7,366","8,072","15,438",47.7,50,309
Western,Buhweju,Nsiika Town Council,"1,450","1,506","2,956",49.1,15,197
Western,Buhweju,Nyakishana,9024,8966,17990,50.2,82.5,218
Western,Buhweju,Rwengwe,8270,8695,16965,48.7,79.1,214
Western,Buhweju,Buhweju Total,59059,61661,120720,48.9,750.8,161
Western,Buliisa,Biiso,8066,8312,16378,97,290.7,56.3
Western,Buliisa,Buliisa,8461,8677,17138,97.5,375.4,45.7
Western,Buliisa,Buliisa Town Council,3703,3535,7238,104.8,33.3,217.4
Western,Buliisa,Butiaba,16366,12545,28911,130.5,182.7,158.2
Western,Buliisa,Kigwera,6871,6757,13628,101.7,50.4,270.4
Western,Buliisa,Kihungya,5915,6481,12396,91.3,64.8,191.3
Western,Buliisa,Ngwedo,8419,9053,17472,93,113.5,153.9
Western,Buliisa,Buliisa Total,57801,55360,113161,104.4,1110.8,101.9
Western,Bundibugyo,Bubandi,10438,11201,21639,93.2,23.6,917
Western,Bundibugyo,Bubukwanga,11093,12014,23107,92.3,112.5,205
Western,Bundibugyo,Bukonzo,5224,5463,10687,95.6,32.8,326
Western,Bundibugyo,Bundibugyo Town Council,9153,9799,18952,93.4,10,1895
Western,Bundibugyo,Busaru,7212,7628,14840,94.5,27.4,542
Western,Bundibugyo,Harugale,6206,6394,12600,97.1,76,166
Western,Bundibugyo,Kasitu,10436,10771,21207,96.9,180.5,117
Western,Bundibugyo,Kirumya,5425,5741,11166,94.5,22.6,494
Western,Bundibugyo,Kisubba,8094,8782,16876,92.2,50.6,334
Western,Bundibugyo,Mirambi,6245,6914,13159,90.3,20.1,655
Western,Bundibugyo,Nduguto,5660,5746,11406,98.5,62.7,182
Western,Bundibugyo,Ngamba,5161,5343,10504,96.6,35,300
Western,Bundibugyo,Ntotoro,4920,5579,10499,88.2,26.7,393
Western,Bundibugyo,Nyahuka Town Council,7890,8806,16696,89.6,13.2,1265
Western,Bundibugyo,Sindila,5278,5771,11049,91.5,156.2,71
Western,Bundibugyo,Bundibugyo Total,108435,115952,224387,93.5,849.9,264
Western,Bushenyi,Central Divison,8429,8184,16613,103,35.7,465.4
Western,Bushenyi,Ishaka Divison,7900,8539,16439,92.5,20.1,817.9
Western,Bushenyi,Nyakabirizi Division,3961,4204,8165,94.2,34.4,237.4
Western,Bushenyi,Bitooma,6680,6731,13411,99.2,44.5,301.4
