district,id,pop,dist_to_cl
GULU,"130831","23",1771.216980965132507
GULU,"147466","4",22193.312824937951518
GULU,"169680","5",27211.760988139256369
GULU,"122352","21",1653.922917333510668
GULU,"167435","5",26037.853570474675507
GULU,"126770","23",1345.333431779421289
GULU,"165499","5",27197.805826511110354
GULU,"157569","4",22595.968019420000928
GULU,"99128","15",16763.066760299345333
GULU,"125009","45",4064.839990873852003
GULU,"157915","6",48730.832420884733438
GULU,"99700","6",29495.084997526373627
GULU,"71047","3",41319.559897237639234
GULU,"121709","21",2217.437396163109952
GULU,"164129","5",24543.275525473181915
GULU,"85240","3",28358.046461883426673
GULU,"116478","15",4218.576916884678212
GULU,"87595","9",26267.574177051152219
GULU,"123056","21",1014.951989615024445
GULU,"123057","21",1046.555277258055867
GULU,"158262","4",27262.545816900441423
GULU,"123796","21",2029.877160798077966
GULU,"117960","6",13422.849306967376833
GULU,"134303","11",12732.625773478974224
GULU,"145334","6",48270.105514896888053
GULU,"142634","11",15492.400702350421852
GULU,"123336","45",1660.085301629639616
GULU,"113564","15",9707.297422229685253
GULU,"74866","3",37029.513729469530517
GULU,"153933","4",25447.883763715857640
GULU,"99733","3",21468.889909878693288
GULU,"176111","22",36138.920211434240628
GULU,"121543","15",3087.847173043269322
GULU,"151195","6",37118.870511031869682
GULU,"90425","3",30096.442981742013217
GULU,"114035","15",5558.214546559323026
GULU,"103638","6",18126.263453780640702
GULU,"131162","11",17676.160871996617061
GULU,"151198","6",39265.941896662996442
GULU,"129536","21",4424.823754421391641
GULU,"167546","5",26117.101125019595202
GULU,"111193","6",23907.278403847500158
GULU,"130094","4",21080.000601717671088
GULU,"111194","6",24401.930067688736017
GULU,"139979","6",39950.559969187146635
GULU,"72294","3",41357.450049117986055
GULU,"108574","6",23688.637973729844816
GULU,"113601","15",5891.672039209171999
GULU,"172997","5",30784.825969890905981
GULU,"120974","6",13848.058729738939292
GULU,"97555","3",24083.531749711935845
GULU,"121598","45",2327.598606449704221
GULU,"162124","5",26194.100320258618012
GULU,"169795","5",28936.429688865449862
GULU,"70743","3",41037.804065731834271
GULU,"126862","23",819.162035672324805
GULU,"170004","5",29653.360955154865223
GULU,"140910","11",14753.384755285767824
GULU,"96589","3",20401.676836296377587
GULU,"157305","6",54894.656604233918188
GULU,"119720","15",3139.654368921989317
GULU,"145054","6",45659.318950631670305
GULU,"109441","6",15468.131207468946741
GULU,"160454","6",58538.894893040436727
GULU,"138710","4",25992.510626150138705
GULU,"104279","6",22540.042660443166824
GULU,"98671","3",21949.157013578944316
GULU,"89567","3",27177.351250580275519
GULU,"136882","11",4449.159978405341462
GULU,"110410","15",9134.551508349266442
GULU,"83496","3",31601.942856056364690
GULU,"172855","5",30061.886719663267286
GULU,"129758","21",1880.666443973996365
GULU,"99057","15",16825.749961500387144
GULU,"161888","5",26713.023235508462676
GULU,"154821","5",19721.289048893559084
GULU,"142858","4",25535.221473208181123
GULU,"123722","45",1315.481022427501557
GULU,"92456","6",31201.307203844316973
GULU,"152079","4",23922.865821481125749
GULU,"159781","5",26110.529018918365182
GULU,"172716","5",30439.361758535735135
GULU,"148043","4",19711.234141187331261
GULU,"173049","5",30321.082289561869402
GULU,"120054","21",2231.891749299573803
GULU,"96880","3",21713.212545850055903
GULU,"114541","6",22275.576323364330165
GULU,"73951","3",37947.931148348325223
GULU,"149883","5",18554.615129260055255
GULU,"69228","3",42034.187007285690925
GULU,"162159","6",58001.863705196592491
GULU,"130605","23",3620.479465873094341
GULU,"98546","15",17243.929940064037510
GULU,"130028","21",3226.541487594213322
GULU,"142578","4",20871.793353413082514
GULU,"92480","3",23671.831538282160182
GULU,"155459","4",29008.913011515385733
GULU,"100627","6",28213.230847050544980
GULU,"137729","6",35234.328325028051040
GULU,"94988","3",25864.489389874157496
AMURU,"117535","10",42811.865205645292008
NWOYA,"156714","3",43828.756615512793360
AMURU,"44336","11",60752.890892620693194
KITGUM,"30933","4",136596.403571328584803
AMURU,"78359","42",39361.530799155349087
LAMWO,"10315","5",111454.753141215216601
AMURU,"110324","44",14830.380621596044875
AMURU,"116512","10",46567.354947796004126
NWOYA,"173217","1",52426.373434664623346
AMURU,"117544","10",40140.836234478811093
PADER,"167032","10",79278.643298185430467
KITGUM,"49499","8",86787.526273420982761
NWOYA,"179405","1",94598.255022904893849
NWOYA,"166008","3",39435.878361352522916
AGAGO,"69095","7",134940.161387823842233
AGAGO,"103120","6",128694.697386776897474
GULU,"139206","4",25732.640727182621049
KITGUM,"23735","4",137742.930946448293980
LAMWO,"10332","7",88853.776382874260889
AGAGO,"73225","7",131242.895885617210297
NWOYA,"149522","3",40820.008391419643885
AMURU,"93849","42",34361.312508607923519
AGAGO,"62919","7",128792.169806165620685
NWOYA,"173237","1",64497.588172009775008
LAMWO,"15495","5",101760.986371963968850
LAMWO,"10340","8",99133.421559198250179
KITGUM,"48489","4",130530.653387538215611
LAMWO,"14468","13",96564.034221246474772
GULU,"170151","5",29175.282218498483417
AGAGO,"101076","6",131896.660117968945997
LAMWO,"2101","10",122195.144887725953595
PADER,"115511","12",75362.254063749394845
PADER,"107265","13",89222.285812155299936
AMURU,"52623","11",61443.001056079148839
GULU,"169128","5",27264.143974753234943
PADER,"141291","17",69679.332804845544160
LAMWO,"1077","10",133798.576260482717771
AGAGO,"144386","13",127402.875107261017547
PADER,"95930","9",73098.433730530334287
AMURU,"111397","10",46537.629921282219584
NWOYA,"166040","3",41532.618496898088779
AMURU,"118616","10",46695.603473315277370
KITGUM,"67066","10",115676.528102734402637
AMURU,"112433","10",46562.539122515241615
AMURU,"56766","11",59094.639619654059061
AMURU,"118632","10",38394.397953106381465
AMURU,"108322","10",87430.241509533632779
NWOYA,"171213","1",59486.096510198345641
LAMWO,"56775","3",68822.832934595935512
PADER,"67090","6",86571.629717495437944
KITGUM,"31008","4",126028.716770275510498
AGAGO,"68125","7",131223.097733083384810
KITGUM,"60908","10",117473.609126268842374
PADER,"104212","9",72682.542491556043387
AMURU,"7299","11",90651.322939230201882
NWOYA,"173290","3",38675.900905021037033
LAMWO,"67098","3",54066.623426781763555
LAMWO,"44417","3",65378.916263211176556
KITGUM,"18642","4",105724.357280955402530
PADER,"73285","6",74899.494314187992131
AGAGO,"148550","13",129545.420149336132454
PADER,"73287","6",75564.431731545730145
GULU,"77413","3",34398.014743962092325
GULU,"68137","3",44218.540023214198300
PADER,"75355","6",75325.502311911157449
NWOYA,"169176","3",34985.449909887000103
GULU,"144433","6",41068.443846481488436
AGAGO,"131032","26",112228.189716077118646
AMURU,"125880","10",37786.448511681344826
PADER,"118664","12",65393.269659519202833
NWOYA,"179496","3",45691.844730953562248
KITGUM,"57840","10",114768.735812778249965
NWOYA,"135167","3",19705.430463032611442
LAMWO,"41347","3",69845.969464632056770
LAMWO,"26914","3",80032.536275169040891
KITGUM,"36194","4",131087.332916751300218
AGAGO,"140326","49",83809.416139296969050
AGAGO,"72280","7",131466.625331135350280
LAMWO,"16607","5",100886.066864491673186
PADER,"114552","12",77733.747584925760748
AGAGO,"100121","6",133691.378732731507625
GULU,"85692","3",36293.526747845062346
AGAGO,"84661","6",140822.937812441698043
GULU,"69199","3",42305.956723527968279
AGAGO,"137246","49",83802.599861981594586
LAMWO,"18681","13",94493.164365188524243
AGAGO,"106320","8",125176.304488088338985
LAMWO,"15595","7",82352.267515292202006
NWOYA,"168187","1",76639.785016632886254
LAMWO,"4259","6",93998.005765818670625
GULU,"116638","15",4136.305542325644637
LAMWO,"12511","8",99007.185009195425664
AGAGO,"73341","33",110999.423254345470923
KITGUM,"33135","7",146896.274770714284386
KITGUM,"55818","8",85713.481184235904948
AGAGO,"122833","49",95602.567538024028181
NWOYA,"176447","1",95188.145367148550577
LAMWO,"16643","7",82288.879398102188134
AGAGO,"110465","8",116492.575792427916895
PADER,"85721","9",69864.164856412011432
NWOYA,"127994","3",27969.626489521680924
PADER,"104282","9",68004.532688817533199
AMURU,"111502","10",52725.792275104853616
GULU,"129029","26",6641.930294255392255
AGAGO,"54800","7",135011.222672560135834
PADER,"80576","6",67774.599204427140648
PADER,"105322","13",87813.159881687999587
PADER,"106353","13",88039.489996218020678
PADER,"103260","9",68867.518168614275055
AMURU,"110480","44",20914.013559182141762
LAMWO,"11504","8",100511.318041544393054
GULU,"114604","6",25671.386680532996252
PADER,"164092","10",80536.735498867739807
AMURU,"87799","42",30414.297996110293752
NWOYA,"173372","3",45945.184075926423247
LAMWO,"37283","3",69440.125379592558602
GULU,"143477","4",16185.558018916526635
LAMWO,"169","10",138499.772421972593293
PADER,"114610","12",63803.788015053272829
LAMWO,"12542","6",80255.472068376402603
GULU,"71309","3",45656.788602090273343
KITGUM,"17699","7",141210.612707439839141
AGAGO,"115645","6",140000.205773173016496
GULU,"145544","26",15250.419857174916615
NWOYA,"173381","3",49563.729086242768972
GULU,"154825","4",25871.826862010566401
AGAGO,"73377","33",112902.811708962181001
LAMWO,"177","10",138526.360401532088872
KITGUM,"29046","7",151266.077486302790930
LAMWO,"13584","7",83753.354358428783598
LAMWO,"9462","5",112776.805311710209935
LAMWO,"18746","8",95972.770101335801883
AGAGO,"110506","6",140693.395550512854243
NWOYA,"131126","3",41773.337511090037879
GULU,"140406","6",37458.618498650546826
NWOYA,"175462","1",66661.329645208752481
KITGUM,"35248","4",130775.290626000147313
LAMWO,"8448","22",118969.854440319220885
NWOYA,"178563","1",96208.139398380328203
KITGUM,"20821","4",140831.460270933865104
KITGUM,"54846","8",85824.450378427703981
AMURU,"57941","11",57808.381282602189458
AMURU,"108464","10",48913.880064531011158
AMURU,"11551","11",78565.495372871009749
LAMWO,"27019","6",69980.521565943970927
NWOYA,"171359","1",84291.358796131258714
AGAGO,"82696","22",123076.588427554786904
LAMWO,"22900","7",76261.191104655634263
LAMWO,"11560","7",84409.261489596814499
NWOYA,"154871","3",36143.092783417057944
AMURU,"99199","10",70698.672237939521438
GULU,"85796","9",26608.091265677143383
NWOYA,"171369","1",53122.295105066528777
GULU,"158998","5",23988.229621458853217
PADER,"76518","31",56527.350013380470045
LAMWO,"12597","6",79888.679781718572485
LAMWO,"39405","3",71638.484527344859089
KITGUM,"34250","4",106834.926660680706846
KITGUM,"44562","8",88651.887487750966102
NWOYA,"169314","3",41385.709006410397706
NWOYA,"173438","1",59408.926837790269929
GULU,"132200","23",2313.990659212006904
LAMWO,"1270","10",133242.852208406053251
KITGUM,"53852","5",99874.464267409653985
GULU,"117776","6",24916.973664313023619
AMURU,"115715","10",49148.418903925157792
KITGUM,"34267","7",146970.281280579481972
AGAGO,"97161","6",131740.290949767688289
GULU,"94069","3",25196.011643730227661
AMURU,"14688","11",78239.529112636228092
AMURU,"111602","44",15524.890906936258034
AGAGO,"82737","22",122410.440619160435745
PADER,"107485","13",88014.006114404794062
NWOYA,"143571","3",31799.033368511543813
LAMWO,"51813","3",64790.934410773435957
AGAGO,"100270","6",131752.456469632743392
PADER,"97178","12",88593.419460489240009
AMURU,"118830","10",42105.037332788131607
AMURU,"104397","10",75247.114812764004455
GULU,"113677","6",16377.065113000926431
PADER,"72438","31",68583.129861539680860
AGAGO,"63160","7",129960.786396377865458
GULU,"95122","6",29711.485900267616671
AGAGO,"80688","33",115474.300691503667622
PADER,"166263","10",79633.063491958979284
GULU,"155959","4",22332.347211811844318
GULU,"136371","4",21824.428595061050146
LAMWO,"13685","6",78587.736541790931369
KITGUM,"45650","8",87600.574913401767844
LAMWO,"30187","3",76918.606458229420241
NWOYA,"167310","3",48718.515228511510941
NWOYA,"153910","3",47706.466606962487276
NWOYA,"167317","3",37313.546792440793070
PADER,"84839","20",41308.688342721550725
